transmitter_no,shipname,begin_date,end_date,registered_gear_type,length,width,num_messages,date_first_broadcast,date_last_broadcast,registered_fishing_region
40408915,SOYO MANDIRI,12/21/2016 0:00:00,12/20/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets,Purse Seine Small Pelagics",13.4,4.433333333,8841,10/24/2016 0:04:00,6/19/2017 23:57:00,"713,713,713"
40408920,PANDAN WANGI,10/23/2016 0:00:00,10/22/2017 0:00:00,Oceanic gillnet,16.5,5.5,456,10/24/2016 1:54:00,4/3/2017 6:49:00,713
40408921,KMTunas Harapan,8/14/2015 0:00:00,8/13/2016 0:00:00,Purse Seine Big Pelagics with one boat,27.24,7.7,1652,12/11/2015 1:05:00,7/12/2016 0:53:00,"572, 573"
40408922,TUNA INDO PRIMA - III,8/18/2016 0:00:00,8/17/2017 0:00:00,Purse Seine Big Pelagics with one boat,25.22,7.58,15554,1/4/2016 7:40:00,10/15/2016 15:36:00,"572, 573"
40408923,STARINDO JAYA MAJU - VI,8/1/2016 0:00:00,7/31/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",21.85,6.25,3400,8/25/2016 0:07:00,6/20/2017 23:11:00,"572, 573,572, 573"
40408924,CHANDRA JAYA,2/24/2017 0:00:00,2/23/2018 0:00:00,Purse Seine Big Pelagics with one boat,26.61,8.22,1275,2/21/2017 0:34:00,6/20/2017 22:02:00,"572, 573"
40408925,HASIL LAUT - 52,1/2/2017 0:00:00,1/1/2018 0:00:00,Longline Tuna,20.5,5.5,2108,12/14/2016 0:39:00,6/20/2017 23:30:00,"572, 573"
40408926,HASIL LAUT - 8,10/12/2016 0:00:00,10/11/2017 0:00:00,Longline Tuna,22.84,6.4,1579,9/19/2016 21:19:00,6/20/2017 22:26:00,"572, 573"
40408927,ASIA NELAYAN - 2,1/11/2017 0:00:00,1/10/2018 0:00:00,Purse Seine Big Pelagics with one boat,25.72,6.98,558,12/14/2016 1:23:00,4/24/2017 20:21:00,"572, 573"
40408928,KM Hasil Laut - XII,7/3/2016 0:00:00,7/2/2017 0:00:00,Transporter,20,5.62,13631,1/4/2016 7:02:00,6/20/2017 23:56:00,
40408929,BINTANG BAHARI,3/21/2016 0:00:00,3/20/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.68,7.1,15193,9/13/2016 0:05:00,4/22/2017 12:38:00,"712, 713,712, 713"
40408930,KM Inka Mina Makmur - 138,5/11/2015 0:00:00,5/10/2016 0:00:00,Purse Seine Small Pelagics,18.12,5,15,12/10/2015 6:54:00,3/8/2016 7:10:00,711
40408931,40408931,10/8/2014 0:00:00,10/7/2015 0:00:00,Longline Tuna,24.74,4.82,1,3/18/2015 16:07:00,3/18/2015 16:07:00,573
40408932,BINTANG TIMUR,7/12/2016 0:00:00,7/11/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",22.34,6.42,3186,7/22/2016 0:43:00,6/20/2017 20:28:00,"572, 573,572, 573"
40408933,PERMATA INDAH II,4/24/2016 0:00:00,4/23/2017 0:00:00,Longline Tuna,20.38,6.42,4516,2/2/2016 1:49:00,6/20/2017 23:35:00,"572, 573"
40408934,KM Bintang Sejahtera-,6/10/2016 0:00:00,6/9/2017 0:00:00,Stick-Held lift net,22,5.63,5469,1/4/2016 7:46:00,6/9/2017 20:27:00,711
40408935,40408935,6/6/2016 0:00:00,6/5/2017 0:00:00,Purse Seine Small Pelagics,25.06,6.85,1,11/4/2015 9:11:00,11/4/2015 9:11:00,"572, 573"
40408936,BERKAH SAMUDRA BAHARI,1/6/2017 0:00:00,10/27/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",21.7,7.1,10382,12/14/2016 1:05:00,6/20/2017 23:52:00,"713, 712,713, 712"
40408937,MINA SANTOSA ABADI,3/19/2016 0:00:00,3/18/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.9,6.5,805,10/11/2016 8:01:00,3/28/2017 0:46:00,"712, 713,712, 713"
40408938,ARIANE,8/14/2016 0:00:00,8/13/2017 0:00:00,Lampara Seine Nets,18.14,6.36,705,3/3/2017 0:56:00,4/16/2017 9:20:00,713
40408938,KM Ariane,8/14/2016 0:00:00,8/13/2017 0:00:00,Purse Seine Small Pelagics,18.14,6.36,5705,1/4/2016 7:14:00,1/3/2017 7:14:00,713
40408939,PUTRA LEO MAKMUR,3/22/2017 0:00:00,3/21/2018 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23,8.5,785,4/3/2017 7:54:00,6/9/2017 3:35:00,"712, 713,712, 713"
40408940,FIFA SAMUDRA BAROKAH,1/30/2017 0:00:00,1/29/2018 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",21.1,7.6,9418,10/24/2016 9:21:00,6/12/2017 6:56:00,"712, 713,712, 713"
40408941,UNGGUL JAYA FORTUNA,5/29/2016 0:00:00,5/28/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.72,6.78,4123,12/10/2015 6:50:00,3/31/2017 21:33:00,"718,718"
40408942,PUTRA LEO SANTOSO,12/27/2016 0:00:00,12/26/2017 0:00:00,Purse Seine Small Pelagics,19,7.15,508,10/27/2016 8:05:00,6/20/2017 10:54:00,713
