transmitter_no,shipname,a_raw_registered_gear_type,Engine Power,Company,Engine Brand
40408867,MERPATI-VIII,Purse Seine Big Pelagics with one boat,420,ADE GUNADI HALIM,NISSAN
40408869,STARINDO JAYA I,Purse Seine Big Pelagics with one boat,420,STARINDO JAYA MAJU,NISSAN
40408923,STARINDO JAYA MAJU -VI,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
40408924,CHANDRA JAYA,Purse Seine Big Pelagics with one boat,370,ANDREAS WIBISONO,NISSAN
40408925,HASIL LAUT -52,Longline Tuna,240,ANTONIUS HALIM,HINO
40408926,HASIL LAUT -8,Longline Tuna,300,KENT HASIL LAUT,NISSAN
40408927,ASIA NELAYAN -2,Purse Seine Big Pelagics with one boat,370,KENT HASIL LAUT,NISSAN
40408928,HASIL LAUT XII,Transporter,#N/A,#N/A,#N/A
40408933,PERMATA INDAH II,Longline Tuna,#N/A,#N/A,#N/A
40408980,HARAPAN JAYA -28,Longline Tuna,220,HASIL ALAM SAMUDERA,MITSUBISHI
40409264,CORSICA,Purse Seine Small Pelagics,350,TRI JAYA MAKMUR,NISSAN
40409269,TANJUNG PERMAI -A1,Purse Seine Big Pelagics with one boat,420,TANJUNG PERMAI ABADI,NISSAN
40409576,NABINE,Longline Tuna,100,IRAWATI ANDRIANA,MITSUBISHI
40409798,MARCEL JAYA -26,Purse Seine Big Pelagics with one boat,420,MARCELINDO CITRA LESTARI,NISSAN
40409808,REJEKI MELIMPAH -1,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
40409808,CALVIN III,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
40409813,TRI JAYA 12,Purse Seine Big Pelagics with one boat,420,TRI JAYA MAKMUR,NISSAN
40510104,SIN TOBA JAYA-18,Transporter,420,JOHNY SULYSTIO,MITSUBISHI
40510252,NAGA JAYA -III,Longline Tuna,#N/A,#N/A,#N/A
