ffa_vid,vessel_name,ircs,mmsi,uvi_imo_number,vessel_type,length,tonnage,engine_power,crew
36359.0,ZHONG YANG NO.28,BZXD76,412764850.0,9671785.0,Longline,42.6,317.0,720.0,15.0
36360.0,ZHONG YANG NO.29,BZXD77,412460066.0,9671797.0,Longline,42.6,317.0,536.904,15.0
36374.0,QUEEN JENNY NO.138,4DET6,NA,8214322.0,Single Purse Seine,55.43,893.52,2162.57,30.0
36381.0,ANGEL 22,V7ZU5,538004917.0,9132612.0,Bunker,114.02,5738.0,3883.0,NA
36383.0,MIN TAI LENG,T3HD2,529606e3,8627309.0,Fish Carrier,84.6,2429.0,1250.0,20.0
36385.0,SAJO FAMILIA,6KCA3,441853e3,9619323.0,Single Purse Seine,79.56,1014.0,3357.1414,29.0
36386.0,YUNG HSING FA NO.688,BL2108,416240900.0,9680164.0,Single Purse Seine,71.79,1428.0,2647.7954999999997,40.0
36387.0,TAI JI,3FYZ6,357497e3,8804244.0,Fish Carrier,124.7,4970.0,5150.0,24.0
36388.0,JUDIBANA,WDG5637,338622e3,7334280.0,Single Purse Seine,61.89,1299.0,2684.52,25.0
36389.0,JIN HUI 9,BIWO,412371182.0,NA,Single Purse Seine,75.47,1640.0,2147.616,34.0
36390.0,ZHONG SHUI 717,BZTK2,412328761.0,NA,Longline,36.52,270.0,550.0,12.0
36391.0,ZHONG SHUI 727,BZTK3,412328759.0,NA,Longline,36.52,270.0,550.0,12.0
36392.0,ZHONG SHUI 737,BZTK4,412328758.0,NA,Longline,36.52,270.0,550.0,12.0
36393.0,ZHONG SHUI 747,BZTK5,412328757.0,NA,Longline,36.52,270.0,550.0,12.0
36394.0,ZHONG SHUI 757,BZTK6,412328756.0,NA,Longline,36.52,270.0,550.0,12.0
36395.0,ZHONG SHUI 767,BZTK7,NA,NA,Longline,36.52,270.0,550.0,12.0
36397.0,NO.803 ORYONG,6KCB7,441869e3,9693226.0,Longline,36.6,173.0,745.7,20.0
36398.0,QIAO TAI,T3PM2,529758e3,9677595.0,Fish Carrier,78.88,1995.0,735.0,20.0
36401.0,YI SIANG NO.8,BJ5098,416004453.0,NA,Longline,23.95,99.7,515.2787000000001,17.0
36407.0,MONTEALEGRE,YSC2005,359004e3,8021763.0,Single Purse Seine,82.83,2157.0,3270.0,29.0
36408.0,MONTELAPE,YSC2004,359003e3,8021775.0,Single Purse Seine,78.1,2058.0,3270.0,29.0
36409.0,HAI SOON 48,E5U2960,529562e3,9166974.0,Bunker,112.0,5360.0,4200.0,20.0
36410.0,CHUNG KUO NO.686,YJTR6,577224e3,8668743.0,Longline,23.08,96.0,596.5600000000001,15.0
36411.0,GILONTAS NO.313,YJTQ4,577214e3,8668781.0,Longline,23.8,99.56,441.29925,15.0
36412.0,GILONTAS NO.323,YJTQ5,577215e3,8668793.0,Longline,23.8,99.26,443.1987931034483,15.0
36413.0,PING TAI RONG 65,BZ8VU,412420818.0,9689366.0,Longline,49.0,473.0,928.0,19.0
36414.0,PING TAI RONG 68,BZ9VU,412420817.0,9689378.0,Longline,49.0,473.0,928.0,19.0
36415.0,PING TAI RONG 70,BZ1VV,412420819.0,9689380.0,Longline,49.0,473.0,928.0,19.0
36416.0,PING TAI RONG 71,BZ2VV,412420821.0,9689392.0,Longline,49.0,473.0,928.0,19.0
36417.0,CHUNG KUO NO.85,3DOG,520218e3,8968480.0,Longline,32.0,179.0,759.03471,20.0
36418.0,PACIFIC PLOVER,DUTR6,548246100.0,8513352.0,Fish Carrier,58.57,914.0,735.49875,18.0
36419.0,TAKE MARU NO.55,NA,NA,NA,Longline,16.95,19.84,455.0,10.0
36420.0,JIN CHIN FU NO.68,BJ4778,416199800.0,NA,Longline,23.4,99.74,735.49875,15.0
36422.0,RUN DA 3,BBCH6,412328793.0,NA,Longline,39.9,255.0,480.0,14.0
36425.0,LU RONG YUAN YU 57,BBZN7,412328726.0,9691888.0,Longline,NA,NA,NA,NA
36427.0,LU RONG YUAN YU 59,BBZN9,412328724.0,9691905.0,Longline,NA,NA,NA,NA
36428.0,LU RONG YUAN YU 328,BBKV8,412328728.0,8663353.0,Longline,35.16,255.0,698.0,13.0
36430.0,GILONTAS NO.333,YJTQ6,577216e3,8668808.0,Longline,23.8,99.2,443.1987931034483,15.0
36431.0,GILONTAS NO.353,YJTQ7,577217e3,8668810.0,Longline,23.8,99.22,441.29925,15.0
36432.0,SUI YUAN YU 29,BZWA29,412460022.0,8664802.0,Longline,38.39393939393939,268.0,450.0,NA
36433.0,PS REEFER,T3HB2,529604e3,8221947.0,Fish Carrier,85.32,2047.0,2237.1,17.0
36435.0,HUA NAN YU 731,BZXD33,412460073.0,NA,Longline,38.15,296.0,444.4372,18.0
36436.0,HUA NAN YU 732,BZXD34,412460074.0,NA,Longline,38.15,296.0,596.0,18.0
36437.0,HUA NAN YU 736,BZXD35,412460075.0,NA,Longline,38.15,296.0,596.0,18.0
36439.0,LU RONG YUAN YU 758,BBKF5,412329427.0,NA,Longline,49.98,474.0,1360.0,18.0
36440.0,LU RONG YUAN YU 768,BBKF6,412329428.0,NA,Longline,49.98,474.0,1360.0,18.0
36441.0,LU RONG YUAN YU 769,BBKF1,412329429.0,NA,Longline,49.98,474.0,1360.0,18.0
36442.0,LU RONG YUAN YU 778,BBKF7,412329431.0,NA,Longline,49.98,474.0,1360.0,18.0
36443.0,LU RONG YUAN YU 788,BBKF8,412329432.0,NA,Longline,49.98,474.0,1360.0,18.0
36444.0,LU RONG YUAN YU 789,BBKF9,412329433.0,NA,Longline,49.98,474.0,1360.0,18.0
36446.0,FUH FA NO.10,BJ4418,416002251.0,NA,Longline,18.0,63.58,447.42,7.0
36447.0,OCEAN STAR VI,YJTG4,577147e3,8656661.0,Longline,37.5,199.0,558.24355125,20.0
36448.0,YI SIANG NO.1,BJ5115,NA,NA,Longline,23.95,99.75,691.0,17.0
36449.0,LU RONG YUAN YU 799,BBKV5,412328742.0,NA,Longline,42.8,268.0,720.0,15.0
36450.0,WOO YEON,DSRN4,441922e3,9558816.0,Bunker,118.0,5036.0,1800.1198000000002,18.0
36454.0,LU RONG YUAN YU 326,BBKV6,412329416.0,9700366.0,Longline,38.59241379310345,255.0,750.0,14.0
36455.0,LU RONG YUAN YU 798,BBIM9,412329426.0,9700378.0,Longline,35.16,255.0,720.0,13.0
36458.0,LU RONG YUAN YU 588,BBZS1,412329402.0,NA,Longline,45.6,357.0,735.0,14.0
36459.0,LU RONG YUAN YU 599,BBZS2,412329403.0,NA,Longline,45.6,357.0,735.0,14.0
36463.0,CHANG RONG 3,BZYC9,412288999.0,NA,Longline,50.8,625.0,1176.0,31.0
36465.0,GOLDEN VISION,H4GV,NA,NA,Single Purse Seine,63.85,847.0,2088.0,28.0
36466.0,LU RONG YUAN YU 589,BBKV9,412329417.0,8669113.0,Longline,37.56,276.0,750.0,13.0
36467.0,LU RONG YUAN YU 598,BBFC8,412329418.0,8669125.0,Longline,41.137241379310346,276.0,750.0,13.0
36468.0,SKYFROST,3FTR9,357805e3,8521830.0,Fish Carrier,152.94,12383.0,7599.2438923076925,NA
36473.0,HAI XING 815,BZU6B,412420863.0,412420863.0,Longline,45.0,428.0,698.0,20.0
36474.0,HAI XING 816,BZU7B,412420864.0,9702924.0,Longline,45.2,428.0,520.4986,20.0
36475.0,HAI XING 817,BZU8B,412420865.0,9702936.0,Longline,45.0,428.0,520.4986,20.0
36476.0,HAI XING 818,BZU9B,NA,9702948.0,Longline,45.2,428.0,520.4986,20.0
